is_bomb_planted,losing_streak_defender,losing_streak_attacker,balance_attacker,health_attacker,has_helmet_attacker,duck_amount_attacker,flash_duration_attacker,armor_value_attacker,current_equip_value_attacker,X_attacker,pitch_attacker,yaw_attacker,Y_attacker,Z_attacker,velocity_attacker,tick,steamid_attacker,name_attacker,balance_defender,health_defender,has_helmet_defender,duck_amount_defender,flash_duration_defender,armor_value_defender,current_equip_value_defender,X_defender,pitch_defender,yaw_defender,Y_defender,Z_defender,velocity_defender,steamid_defender,name_defender,attacker_won,crosshair_alignment_attacker,crosshair_alignment_defender
False,1,1,150,100,False,0.0,0.0,100,850,1259.0189,1.253479,21.280518,1702.8282,0.031248093,124.795395,3107,76561198143856298,sstiNiX,150,100,False,0.0,0.0,100,850,1787.9686,0.585022,-162.60556,1812.0312,2.041019,0.0,76561198134164683,ZEDKO,True,0.98562664,0.9949837
False,1,1,100,73,False,0.0,0.0,0,600,1308.5225,-2.2000122,-152.12598,2493.854,69.71451,113.64915,4310,76561198293974689,notineki,150,100,False,1.0,0.0,100,1250,997.2901,-2.442047,43.117218,2342.473,81.76824,18.283413,76561198029535730,sAvana1,True,0.9994234,0.9524561
False,1,1,400,73,False,0.0,0.0,0,600,1353.9724,-2.3926086,164.3692,2526.9539,66.66156,215.099,4552,76561198293974689,notineki,450,85,False,0.0,0.0,94,850,510.318,-0.22006226,-19.659348,2728.675,96.532326,211.6603,76561198800622918,fino,True,0.999248,0.9933996
True,1,1,150,100,False,0.0,0.0,100,950,1311.4515,1.2915802,144.4043,2065.6533,0.8700981,119.961876,5092,76561198400817766,FenomeN,0,100,False,0.0,0.0,0,400,962.5796,-14.383514,128.72614,2098.6394,-9.251404,218.04965,76561198071291375,The eLiVe,True,0.86439496,-0.6669791
False,2,0,50,100,True,0.0,0.0,100,4600,597.5296,1.5634918,32.87178,647.20776,1.1087193,209.53598,7369,76561198400817766,FenomeN,0,100,False,0.0,0.0,100,2550,1307.2898,0.07759094,-140.84198,1261.1034,1.031249,0.0,76561198035510513,manguss,False,0.98993593,0.99955904
False,2,0,50,100,True,1.0,0.0,100,4300,-2016.7737,12.51239,79.20111,1458.1917,33.0326,73.10113,11209,76561198293974689,notineki,0,39,False,0.0,0.0,93,2050,-1900.5,-5.609894,-105.317,1979.5481,-1.3834839,51.975018,76561198029535730,sAvana1,True,0.9876926,0.99829733
False,2,0,0,76,True,0.0,0.0,99,3900,-2091.1907,4.816818,-12.618835,1259.3505,36.701023,37.497303,11332,76561198143856298,sstiNiX,100,100,True,0.0,0.0,100,1800,-1142.615,-3.1108398,172.31299,1125.8597,-22.239136,0.0,76561198071291375,The eLiVe,True,0.996529,0.9999586
False,2,0,0,100,True,1.0,0.0,100,4800,-1786.9115,8.443329,-9.718094,2499.862,31.011217,6.87591,13402,76561198239621484,lov1kus,650,73,True,1.0,0.0,97,2200,-1393.5347,-7.2379303,77.41275,2423.8643,3.3525858,23.912949,76561198134164683,ZEDKO,True,0.99670297,-0.01986796
False,2,0,600,51,True,0.0,0.0,79,4800,-1856.2896,12.163574,21.423004,2582.4126,34.108856,0.0,13555,76561198239621484,lov1kus,300,58,False,1.0,0.0,95,2550,-1462.2899,-1.5933533,-156.15692,2760.7551,12.426745,80.110466,76561198035510513,manguss,False,0.9855971,0.99971217
False,0,1,100,100,False,0.0,2.7405827,100,2550,-389.74408,2.2288513,90.39792,-513.02563,0.8169253,79.25234,15860,76561198400817766,FenomeN,50,100,True,0.0,0.507439,100,3400,-442.1892,-2.4441223,-89.58561,2238.0999,-119.42023,230.00139,76561198800622918,fino,False,0.9999154,0.9999296
False,0,1,0,100,False,0.0,0.0,100,1450,-1985.5942,3.517685,29.440277,1837.7296,20.90144,240.00458,18783,76561198811683421,kelieN,100,100,True,0.0,0.0,100,3450,-1463.8688,-1.0780334,-163.54214,1991.6246,3.261086,115.83108,76561198071291375,The eLiVe,False,0.97398984,0.9999075
False,0,1,750,72,False,0.0,0.0,92,1150,-1890.1299,0.11364746,-25.717285,1938.0245,-0.8657837,63.362995,18922,76561198143856298,sstiNiX,700,100,True,0.0,0.0,100,3450,-1547.095,1.5092468,154.44547,1766.1777,0.67511463,42.063793,76561198071291375,The eLiVe,True,0.9998609,0.9995815
False,1,0,800,100,True,0.0,0.0,100,5400,1304.2732,-9.566681,97.03882,2007.0181,1.0312481,117.00229,26333,76561198143856298,sstiNiX,150,100,False,0.0,0.0,100,3200,1031.4658,15.905792,-51.698227,2304.3987,127.03125,79.59057,76561198035510513,manguss,False,0.8159052,0.9971857
False,1,0,1150,100,True,0.0,0.0,100,4900,1550.598,-5.2349854,100.8703,500.79932,-92.451416,71.4207,27335,76561198400817766,FenomeN,50,100,False,0.0,0.0,0,1900,1102.475,5.032074,-80.57854,2979.4744,128.84966,188.63022,76561198800622918,fino,False,0.99993455,0.9998969
False,1,0,150,100,True,0.0,0.0,100,4800,1452.1338,-5.1416016,98.13745,517.54846,-97.27045,74.295395,28232,76561198239621484,lov1kus,350,100,False,0.0,0.0,0,1900,1129.7573,5.270355,-82.041435,2990.4724,128.80586,165.77858,76561198800622918,fino,False,0.99992365,0.99995625
