is_bomb_planted,losing_streak_defender,losing_streak_attacker,balance_attacker,health_attacker,has_helmet_attacker,duck_amount_attacker,flash_duration_attacker,armor_value_attacker,current_equip_value_attacker,X_attacker,pitch_attacker,yaw_attacker,Y_attacker,Z_attacker,velocity_attacker,tick,steamid_attacker,name_attacker,balance_defender,health_defender,has_helmet_defender,duck_amount_defender,flash_duration_defender,armor_value_defender,current_equip_value_defender,X_defender,pitch_defender,yaw_defender,Y_defender,Z_defender,velocity_defender,steamid_defender,name_defender,attacker_won,crosshair_alignment_attacker,crosshair_alignment_defender
False,1,1,150,100,False,0.0,0.0,100,850,-1950.0217,-0.115356445,-61.989326,2209.641,-1.9420166,240.00699,2840,76561198404474914,h0nest,150,100,False,0.0,0.0,100,850,-1648.9377,0.73916626,117.09985,1639.1128,2.3588433,37.65504,76561198810530324,JoSoo ,False,0.9999837,0.9999011
False,1,1,0,100,False,0.0,0.0,0,400,-1765.6488,0.06591797,-80.340614,2039.886,-4.033325,77.64721,3202,76561197963554599,Supa,450,41,False,0.0,0.0,76,850,-1692.6115,0.64682007,67.61948,1625.5247,2.6331222,60.75843,76561198810530324,JoSoo ,True,0.99983835,0.84456134
True,1,1,600,63,False,0.0,0.0,0,200,-2084.4067,-5.2579956,-23.78711,2975.8213,34.38369,234.70145,4620,76561197963554599,Supa,150,99,False,0.0,0.0,100,850,-1254.5829,5.6672363,157.84299,2618.962,118.01216,0.0,76561198336304485,CoolComs,True,0.9999594,0.99979144
True,1,1,450,84,False,0.28684834,0.0,93,950,-1654.9551,-0.26400757,56.341675,1673.1876,2.7098155,32.203487,4707,76561198399009695,bezymecc,150,77,False,1.0,0.0,100,850,-1231.4532,-0.060424805,-120.17292,2372.56,22.993238,55.289097,76561198339361458,Fruitcupx,True,0.99887365,0.9995061
True,1,1,150,100,False,0.0,0.0,100,1150,-1893.7333,1.2871094,32.584763,1846.5337,14.514162,177.97012,4800,76561199218874679,nico1ajus,150,100,False,0.0,0.0,100,850,-1206.8976,-1.5840912,-149.97437,2245.1697,3.7423139,33.84311,76561198165434206,FxRE,False,0.9990435,0.9998991
True,1,1,750,84,False,0.5284949,0.0,93,950,-1641.0143,0.070373535,60.49553,1665.9076,2.4962406,2.9003005,5160,76561198399009695,bezymecc,450,100,False,0.0,0.0,100,850,-1301.5743,0.06591797,-119.94427,2262.7869,3.397563,14.622097,76561198165434206,FxRE,False,0.9999946,0.9999846
True,1,1,900,63,False,0.0,0.0,0,200,-1978.1881,-0.3742218,1.2926025,2178.8162,-1.213562,160.80394,5217,76561197963554599,Supa,750,100,False,0.0,0.0,100,850,-1314.6271,0.1980896,164.15564,2218.9148,2.3554173,192.54819,76561198165434206,FxRE,True,0.9992852,0.94378585
False,2,0,50,100,True,0.7844194,0.0,100,4700,-521.37103,7.7220154,83.53592,238.97424,6.772377,31.801256,7627,76561197963554599,Supa,1750,65,False,0.45524913,0.0,0,300,-371.71753,-5.5659485,-96.61205,1545.1326,-126.319336,73.68284,76561198336304485,CoolComs,True,0.9994254,0.99999213
False,2,0,100,100,True,0.0,0.0,100,4100,-202.42859,5.4736023,100.44733,372.52576,-1.3088379,48.588406,7834,76561198399009695,bezymecc,950,4,False,0.0,0.0,0,1900,-531.6692,-3.750122,-80.92323,2204.8225,-122.14844,54.329746,76561198165434206,FxRE,False,0.99951804,0.9998129
False,2,0,350,100,True,0.0,0.0,100,4700,-691.9706,0.7920532,57.180054,412.8212,20.093716,21.059109,8038,76561197963554599,Supa,1350,100,False,0.0,0.0,0,700,2.950437,-0.31654358,-123.35209,1473.2017,-0.5357666,35.545097,76561198339361458,Fruitcupx,False,0.9999704,0.99994034
False,2,0,500,100,True,0.0,0.0,100,3400,-1685.7125,1.6163635,67.967606,761.11536,31.38113,119.59865,9659,76561199218874679,nico1ajus,2150,65,False,0.0,0.0,0,3100,-1468.6853,4.943512,98.77225,-407.48853,130.89262,145.79143,76561198810530324,JoSoo ,False,-0.8419725,0.99953413
False,2,0,0,73,True,0.0,0.0,97,3600,-1781.5425,0.34640503,64.54811,598.3092,32.00495,202.20753,9933,76561198404474914,h0nest,2450,65,False,0.0,0.0,0,3100,-1592.0614,5.174225,103.02258,-471.76385,130.05055,215.00114,76561198810530324,JoSoo ,False,-0.8114178,0.99865764
False,2,0,50,28,True,0.0,0.0,94,3500,-1127.881,-19.68991,118.997375,2320.242,4.581021,214.99655,10084,76561197964488776,Mak,2050,100,False,0.0,0.0,0,2000,-1051.0804,1.3691711,-111.07727,2497.447,13.27013,124.79774,76561198987550079,Drop,False,0.5886523,0.998935
