is_bomb_planted,losing_streak_defender,losing_streak_attacker,balance_attacker,health_attacker,has_helmet_attacker,duck_amount_attacker,flash_duration_attacker,armor_value_attacker,current_equip_value_attacker,X_attacker,pitch_attacker,yaw_attacker,Y_attacker,Z_attacker,velocity_attacker,tick,steamid_attacker,name_attacker,balance_defender,health_defender,has_helmet_defender,duck_amount_defender,flash_duration_defender,armor_value_defender,current_equip_value_defender,X_defender,pitch_defender,yaw_defender,Y_defender,Z_defender,velocity_defender,steamid_defender,name_defender,attacker_won,crosshair_alignment_attacker,crosshair_alignment_defender
False,1,1,0,79,False,1.0,0.0,0,700,-603.90924,1.3066864,61.50833,463.111,8.172355,81.60041,7047,76561198018557005,leo_drk,150,76,False,1.0,0.0,87,850,8.8052025,-0.7292175,-119.43134,1581.9707,1.8282771,36.122223,76561198298653857,Misfit,True,0.999834,0.99988985
False,1,1,150,100,False,0.0,0.0,100,850,-351.22382,-0.91941833,102.58313,1325.7244,-124.38159,63.382854,7225,76561198813233208,vinaabeastt,150,86,False,0.0,0.0,94,850,-613.1962,0.28118896,-76.28872,2400.1917,-99.55408,138.71333,76561198154095163,drg---,False,0.9997889,0.99984616
False,1,1,150,16,False,0.5180586,0.0,60,950,-387.73975,-5.3143005,132.80927,1890.5891,-126.28607,45.622566,7772,76561198885430317,history-,450,66,False,1.0,0.0,83,850,-867.23846,7.809906,-48.07892,2400.7998,-45.78723,8.904691,76561198154095163,drg---,False,0.9997386,0.9995076
False,1,1,150,46,False,0.5447355,0.0,74,850,-537.4364,0.691803,25.83023,1912.5614,-119.66101,54.979183,7943,76561198391195095,redi-_,150,38,False,1.0,0.0,67,850,322.82376,-0.7082825,-154.21234,2343.0251,-119.97156,41.293045,76561198049794434,DeStlNy-,False,0.9998447,0.9998312
False,1,1,150,84,False,0.0,0.0,93,850,-341.2848,-0.05973816,142.17099,1939.4415,-125.13196,28.55151,7991,76561198169934019,MaLLby,750,21,False,0.24698737,0.0,64,850,-764.9531,1.8745422,-39.738235,2267.9392,-109.36957,45.352715,76561198154095163,drg---,True,0.99959797,0.9994163
True,1,1,1350,84,False,0.0,0.0,93,850,1081.5974,19.702606,-66.001396,2549.6711,152.03125,33.012062,10814,76561198169934019,MaLLby,450,84,False,0.0,0.0,96,850,1119.8978,-18.54596,86.25433,2140.4167,1.744451,214.86763,76561197961460718,ALLE-,False,0.95353764,0.9884522
False,0,2,0,100,False,0.0,0.0,100,2550,-408.36053,3.6611938,90.442535,-263.7716,0.95787764,224.73772,14099,76561198885430317,history-,150,100,True,0.0,0.0,100,3700,-382.3145,-3.1609802,-90.281525,1914.8604,-126.45148,143.47829,76561198298653857,Misfit,True,0.99979216,0.99997014
False,0,2,150,30,True,0.0,0.0,95,2550,1328.3843,1.016571,-143.33209,2753.3801,114.76631,24.651997,17263,76561198169934019,MaLLby,50,100,True,0.0,0.0,100,4400,323.46878,-0.6073303,34.10225,2007.911,97.66655,40.85535,76561198049794434,DeStlNy-,False,0.9999902,0.999069
True,0,2,100,100,True,1.0,0.0,100,4400,1229.7489,13.600388,-164.29471,2500.737,172.03125,35.3909,17733,76561198813233208,vinaabeastt,350,42,True,0.16579197,0.0,88,4400,305.12378,-3.4912415,18.568604,2218.445,98.220314,3.6312208,76561198049794434,DeStlNy-,True,0.9868012,0.9994998
False,1,0,2750,32,True,0.9833327,4.550368,79,4200,-1672.8323,2.9525757,91.25964,755.36896,30.863535,9.917214,24402,76561198885430317,history-,50,77,True,0.0,0.0,97,2950,-1688.4324,11.454285,-90.54829,1386.9723,43.208256,30.390627,76561198298653857,Misfit,True,0.99747205,0.98320067
False,1,0,100,100,True,0.0,0.0,100,4600,-428.10596,8.179657,85.364105,747.7742,0.031250477,111.799416,25315,76561198813233208,vinaabeastt,50,100,True,0.0,0.0,100,2000,-63.382263,0.15174866,-118.50918,1388.3109,-0.14251709,135.00017,76561198049794434,DeStlNy-,False,0.8969647,0.9997951
True,2,0,4850,86,True,0.0,0.0,91,3900,-1463.2174,0.49472046,-122.84981,1212.1099,36.825195,42.843304,31282,76561198018557005,leo_drk,1900,81,False,0.0,0.0,0,200,-1665.3071,0.06248474,58.682785,867.5164,31.091896,218.22617,76561198154095163,drg---,True,0.9990623,0.9997499
True,2,0,5450,54,True,0.0,0.0,75,3900,-1521.1948,2.3957062,-118.21701,1223.687,37.351357,72.86947,31386,76561198018557005,leo_drk,1900,99,False,0.80157924,0.0,0,200,-1705.9686,0.61042786,64.97281,863.35986,33.9865,67.93359,76561197961460718,ALLE-,True,0.9992651,0.99913496
False,3,0,4350,86,True,0.0,0.0,91,5100,-568.3668,-7.792389,174.8299,2081.863,-118.13324,164.62282,37623,76561198813233208,vinaabeastt,100,100,True,1.0,0.0,100,4400,-1387.0342,6.8637085,-8.53157,2216.4197,0.57789135,0.0,76561197961460718,ALLE-,True,0.99739283,0.9996546
False,3,0,4650,60,True,0.11773955,0.0,91,5100,-564.2085,-13.165054,-177.66815,2127.3364,-119.400696,7.475449,37669,76561198813233208,vinaabeastt,50,66,False,1.0,0.0,96,4450,-1062.3662,23.836212,5.0114746,2089.119,66.03125,7.654544,76561198154095163,drg---,False,0.991534,0.9981114
