is_bomb_planted,losing_streak_defender,losing_streak_attacker,balance_attacker,health_attacker,has_helmet_attacker,duck_amount_attacker,flash_duration_attacker,armor_value_attacker,current_equip_value_attacker,X_attacker,pitch_attacker,yaw_attacker,Y_attacker,Z_attacker,velocity_attacker,tick,steamid_attacker,name_attacker,balance_defender,health_defender,has_helmet_defender,duck_amount_defender,flash_duration_defender,armor_value_defender,current_equip_value_defender,X_defender,pitch_defender,yaw_defender,Y_defender,Z_defender,velocity_defender,steamid_defender,name_defender,attacker_won,crosshair_alignment_attacker,crosshair_alignment_defender
False,1,1,450,72,False,0.0,0.0,88,1050,575.38007,0.39619446,36.420715,661.2625,1.2190752,5.300544,756,76561198192352118,laser,100,59,False,0.4591634,0.0,0,1100,1572.4153,-0.10093689,-144.86984,1384.7662,0.6998935,34.425674,76561198328716965,lash,False,0.9999476,0.9998925
False,1,1,300,100,False,0.0,0.0,0,1300,702.3551,2.8598785,-16.987274,882.37146,-0.3043213,92.29657,1197,76561198272032394,deco,150,78,False,0.0,0.0,88,850,1545.6763,-4.527405,159.89844,645.5737,-38.949768,94.589066,76561199089677086,ritz,True,0.99972504,0.9964319
False,1,1,150,100,False,0.0,0.0,100,950,1309.6411,-0.32341003,95.19171,1541.695,1.0312481,100.93733,1746,76561198192191289,atarax1a,150,100,False,0.0,0.0,100,1250,1243.5265,1.5641785,-79.961586,2054.0005,1.5183499,208.88431,76561198338211599,stax,True,0.99927723,0.9985554
False,3,0,2550,77,True,0.0,1.3052979,96,3900,330.87274,-0.95718384,18.132935,2459.9897,97.05413,213.77809,15431,76561198189600467,reversive,100,100,True,0.0,0.0,100,3750,1082.7908,2.673462,-153.84155,2804.826,127.03125,0.0,76561198338211599,stax,False,0.99337935,0.9995934
False,3,0,2750,78,True,0.0,0.0,86,4800,386.91113,11.9678955,-6.2000732,2199.1433,95.950325,111.79889,16104,76561198272032394,deco,100,100,True,0.0,0.0,100,4800,1223.62,5.8193207,-157.97824,2521.6436,172.03125,124.31349,76561198328716965,lash,False,0.8488257,0.99972254
False,3,0,2750,100,True,0.0,1.5230993,97,5100,495.5948,19.63498,-58.50357,2485.4766,95.88055,164.75035,16116,76561198192191289,atarax1a,0,100,True,0.0,2.379155,100,4600,775.26544,-3.1877441,-0.8191681,2068.0312,-50.15143,83.51953,76561198063479252,jOw,True,0.9974652,-0.5294641
False,3,0,2950,100,True,0.24378812,0.0,100,5100,1067.4263,2.4684906,17.564392,2872.9282,127.81944,17.786995,16370,76561198273670913,righi,400,72,True,0.0,0.0,96,3750,1291.4536,2.6933594,-161.93951,2952.1658,128.81511,215.70357,76561198338211599,stax,False,0.99832547,0.9987776
False,3,0,2600,17,True,1.0,0.0,65,4200,1037.0988,4.1579895,58.533447,801.2668,6.5269427,11.934117,17010,76561198192352118,laser,100,44,False,0.62109375,0.0,92,4550,1460.0889,-0.08239746,-118.9991,1568.8748,-7.7894287,42.43532,76561199099962277,revoltz,True,0.99738497,0.9998859
False,1,1,50,73,True,0.0,1.8029867,96,4100,384.66324,1.4519043,79.06653,1459.815,0.7542558,48.879704,22209,76561198189600467,reversive,2250,8,True,0.5049434,1.7404288,87,5500,449.24484,4.1998596,-106.00983,1740.4181,4.225336,58.184666,76561198328716965,lash,False,0.99867505,0.9967136
False,1,1,150,33,True,1.0,0.0,87,4400,-346.2021,-2.262848,111.302826,1495.236,-125.54108,9.745197,24552,76561198273670913,righi,650,100,True,1.0,0.0,100,5800,-482.7527,12.100067,78.53577,839.5518,-12.475891,76.49823,76561199099962277,revoltz,False,-0.819125,0.9990214
False,1,1,50,98,True,0.0,0.0,100,4100,-1815.5347,-9.886658,13.3758545,2534.5881,32.260784,167.17403,26129,76561198192191289,atarax1a,650,100,True,0.0,0.0,100,5300,-1273.9012,13.257416,-148.05554,2667.831,130.03125,20.759207,76561198063479252,jOw,True,0.9999704,0.9507591
True,1,1,350,98,True,1.0,0.0,100,4100,-1795.6635,1.1089325,-47.83928,2477.279,30.69965,22.539946,26249,76561198192191289,atarax1a,50,100,True,0.0,0.0,88,4200,-1406.3737,-3.6629028,138.32782,2104.9358,2.6696286,214.99753,76561198338211599,stax,True,0.99689496,0.99928886
True,1,1,1050,91,True,1.0,0.0,98,4600,-1536.1958,-30.338058,12.425201,2640.748,5.5219917,12.373138,26371,76561198272032394,deco,950,100,True,0.0,0.0,100,4300,-1319.0172,20.487442,-160.98953,2683.457,130.03125,181.02603,76561199099962277,revoltz,False,0.99966055,0.9803173
True,1,1,650,98,True,0.0,0.0,100,4100,-1861.0164,-8.685379,12.405975,2533.9192,31.96874,187.2061,26403,76561198192191289,atarax1a,1250,100,True,0.0,0.0,100,4300,-1321.3196,39.29741,-174.29947,2670.6387,130.03125,0.0,76561199099962277,revoltz,True,0.9992555,0.8635996
False,2,0,150,100,True,0.0,0.0,100,3350,-130.7456,0.5280304,92.84787,392.6569,-1.3737793,206.55675,31091,76561198189600467,reversive,900,100,False,0.0,0.0,100,3750,-149.0282,0.29833984,-88.937416,911.1762,1.4255118,117.0,76561198328716965,lash,True,0.9997887,0.9998606
