is_bomb_planted,losing_streak_defender,losing_streak_attacker,balance_attacker,health_attacker,has_helmet_attacker,duck_amount_attacker,flash_duration_attacker,armor_value_attacker,current_equip_value_attacker,X_attacker,pitch_attacker,yaw_attacker,Y_attacker,Z_attacker,velocity_attacker,tick,steamid_attacker,name_attacker,balance_defender,health_defender,has_helmet_defender,duck_amount_defender,flash_duration_defender,armor_value_defender,current_equip_value_defender,X_defender,pitch_defender,yaw_defender,Y_defender,Z_defender,velocity_defender,steamid_defender,name_defender,attacker_won,crosshair_alignment_attacker,crosshair_alignment_defender
False,1,1,150,83,False,0.0,0.0,94,950,-2073.3823,0.7017517,77.29739,1077.6643,39.230293,44.80647,10415,76561198064058958,1junior,150,79,False,0.0,0.0,94,950,-1965.8977,-0.15414429,-101.79245,1600.0271,32.706802,58.651615,76561198210934463,HexT,False,0.999824,0.9999506
False,1,1,0,100,False,0.0,0.0,0,700,-1500.8557,-0.22453308,109.71838,2025.1086,0.95782185,239.99936,10643,76561198000828093,cJ-dA-K1nG,100,72,False,0.0,0.0,0,600,-1907.5587,0.30041504,-35.69287,2347.0125,2.4480429,12.296063,76561197995889730,nitr0,False,0.8487871,0.99891293
True,1,1,150,87,False,0.5138819,0.0,94,1050,-1455.2948,5.3297424,0.12805176,2205.2156,0.03527403,6.5468936,11428,76561198023592320,RUSH,150,91,False,1.0,0.0,95,1050,-85.31976,-6.1351776,179.7511,2204.3477,-127.85547,0.0,76561198047472534,oSee,False,0.99999595,0.99989533
False,0,2,100,87,True,0.0,0.0,96,4600,-1115.1967,7.405472,15.849487,1316.8553,-111.404724,21.872826,15659,76561198061787931,nosraC,1400,19,True,0.0,0.0,91,3050,-693.69385,2.9220276,-164.89963,1436.3112,-113.29443,63.362103,76561198047472534,oSee,True,0.9922055,0.9983913
False,0,2,50,31,False,0.0,0.0,0,3700,-1045.8488,-6.572571,-4.519165,1446.7391,-112.0611,54.329964,15915,76561198353869335,Jeorge-,50,100,False,0.0,0.0,100,5150,-13.834534,7.189514,174.89719,1362.1499,0.24324131,0.0,76561198054870849,autimatic,False,0.9999734,0.9998216
False,0,2,50,9,True,0.0,0.0,59,2600,-588.53485,2.543335,22.539139,1422.0222,-114.16669,223.27945,16071,76561198023592320,RUSH,400,100,True,0.0,0.0,100,4150,-356.59686,-0.92388916,-165.7655,1516.7467,-125.96057,78.80123,76561198210934463,HexT,True,0.9999805,0.98984873
False,0,2,0,11,False,0.0,0.0,83,2850,-657.3253,1.427185,57.968323,415.51767,8.628532,57.52083,17778,76561198064058958,1junior,350,100,False,1.0,0.0,100,5150,-16.917603,-0.94070435,-123.27999,1434.6957,-0.8115845,0.0,76561198054870849,autimatic,True,0.9998524,0.99976665
False,0,2,150,20,True,0.0,0.0,92,2550,-1300.1014,9.911041,159.9884,1103.7323,33.576717,67.55313,20904,76561198000828093,cJ-dA-K1nG,350,46,True,0.0,0.0,96,4200,-1127.5173,-14.80751,173.23688,1076.779,-18.944458,0.0,76561197995889730,nitr0,False,-0.8760361,0.99880457
False,0,3,1950,100,False,0.0,3.584253,0,500,1215.6152,0.4676056,62.404755,985.61053,0.005552292,202.99887,23358,76561198353869335,Jeorge-,150,100,True,1.0,2.5386028,95,4600,1688.1196,-1.1614685,-119.156685,1812.0936,0.46978426,3.5456874,76561198054861139,Brehze,False,0.9992511,0.9997297
False,0,3,2100,28,False,0.0,0.0,0,700,-1918.2883,4.065628,103.273895,1384.4594,34.736565,69.21876,23686,76561198061787931,nosraC,0,52,True,0.0,0.0,95,5200,-2097.488,1.2476349,-76.49849,2120.5415,1.4848437,0.0,76561197995889730,nitr0,False,0.9996077,0.99784154
