is_bomb_planted,losing_streak_defender,losing_streak_attacker,balance_attacker,health_attacker,has_helmet_attacker,duck_amount_attacker,flash_duration_attacker,armor_value_attacker,current_equip_value_attacker,X_attacker,pitch_attacker,yaw_attacker,Y_attacker,Z_attacker,velocity_attacker,tick,steamid_attacker,name_attacker,balance_defender,health_defender,has_helmet_defender,duck_amount_defender,flash_duration_defender,armor_value_defender,current_equip_value_defender,X_defender,pitch_defender,yaw_defender,Y_defender,Z_defender,velocity_defender,steamid_defender,name_defender,attacker_won,crosshair_alignment_attacker,crosshair_alignment_defender
False,1,1,150,100,False,0.23024467,0.82287014,100,1050,-1690.1456,-2.248413,-91.73962,2005.1567,-5.837097,109.55273,2019,76561198259727379,ArroW,150,88,False,0.0,0.0,93,850,-1704.6289,2.337677,83.04907,1686.0281,2.5947657,125.2161,76561198157089888,SHiNE,True,0.9998053,0.9970157
True,1,1,450,85,False,0.0,0.0,93,1050,487.3239,-31.323395,50.346222,2231.8713,-127.48584,235.39522,4677,76561198259727379,ArroW,150,100,False,0.0,0.0,100,850,1115.5715,18.348206,-165.53444,2412.0044,96.06089,0.0,76561198890491804,L00m1,False,0.8355833,0.999635
True,1,1,50,100,False,0.0,0.0,0,950,137.90251,-5.1182556,-0.4875183,2287.5347,-118.96875,62.263786,4864,76561198168694063,PerX,150,100,False,0.0,0.0,100,850,1421.2406,5.4825134,-179.88705,2293.6523,3.7985115,72.60962,76561198851067539,adamb,False,0.99989444,0.9999961
False,2,0,3650,100,False,0.0,0.0,100,850,355.64523,0.29045105,17.812271,2343.2556,95.843025,86.621414,5633,76561198198570973,awzek,2350,100,False,0.0,0.0,100,850,1348.213,-0.44665527,-164.71802,2655.0046,95.57843,118.115036,76561198851067539,adamb,True,0.99996704,0.99926466
False,2,0,100,100,True,0.0,0.0,100,4000,1479.1008,-5.3884583,98.67853,511.74936,-99.41199,0.0,8423,76561198219516767,FreeZe,950,100,False,0.0,0.0,100,2550,1156.9718,5.2363586,-80.58266,2642.7434,96.42962,0.0,76561198890491804,L00m1,True,0.99999315,0.99989766
False,2,0,50,45,True,0.47736335,2.9571881,97,4100,1317.3285,6.807068,77.139465,1845.3574,1.03125,1.817645,9217,76561198259727379,ArroW,0,12,True,1.0,0.0,88,1900,1402.5287,3.7841034,-101.54526,2277.961,2.635663,0.37016743,76561198135878798,Plopski,False,0.9920663,0.99802864
False,2,0,400,100,True,1.0,0.0,100,4000,1594.6062,-4.2060547,97.736084,1010.989,0.7799926,7.2893023,9318,76561198219516767,FreeZe,150,79,True,0.0,0.0,97,3600,1325.6586,4.0954895,-82.362785,2978.932,129.03125,18.23888,76561198851067539,adamb,True,0.99995977,0.9999723
False,2,0,350,13,True,1.0,0.0,93,4200,1757.5,-5.4629517,127.8764,1895.9108,2.3003612,21.346144,9821,76561198139604328,hyped,150,100,False,0.0,0.0,100,2100,1087.8152,6.0263367,-52.20188,2759.3306,108.26652,66.38375,76561198157089888,SHiNE,True,0.99999833,0.99996376
False,3,0,950,13,True,0.0,0.0,88,2550,153.21571,4.7584534,37.556076,1441.2599,-0.2966919,129.99416,13201,76561198259727379,ArroW,2050,25,False,0.0,0.0,0,500,387.06702,6.0520935,-143.87695,1608.7035,3.9343677,52.911514,76561198851067539,adamb,True,0.99464685,0.9958289
False,3,0,2700,100,True,1.0,0.0,94,4700,-1289.7251,13.9392395,-11.140137,2231.806,2.7780495,19.671745,13529,76561198168694063,PerX,2450,16,False,0.22351266,0.0,0,200,-274.0755,-6.5536804,170.81268,2033.3865,-127.01984,74.472946,76561198161056567,nilo,True,0.99298483,0.99942285
False,3,0,3450,9,True,0.0,0.0,76,4200,-625.2881,6.571533,-2.9292297,1456.6552,-113.66986,39.5558,14034,76561198219516767,FreeZe,2250,100,False,0.0,0.0,0,300,-417.21826,1.4117432,-178.51169,1465.9669,-126.58801,240.00186,76561198157089888,SHiNE,False,0.99405795,0.9960786
False,3,0,3500,41,True,0.0,0.0,64,4900,-112.4115,18.79692,174.61566,1379.1028,-0.108947754,137.2898,14224,76561198139604328,hyped,3350,100,False,1.0,0.0,0,200,-304.70032,-0.13183594,78.768555,526.5884,-3.2042847,81.59964,76561198890491804,L00m1,False,0.121859305,0.9996661
True,3,0,3000,78,True,1.0,0.91967773,91,4700,-1368.3182,18.839844,-94.63005,2584.4897,119.03125,14.4267435,16531,76561198168694063,PerX,2850,11,False,0.6574429,0.0,0,2300,-1401.1315,-13.130722,85.4812,2163.0444,0.59177065,0.0,76561198157089888,SHiNE,True,0.99844825,0.99903136
False,4,0,6800,100,True,0.0,0.0,81,4700,-562.5318,-2.4502869,17.487488,1935.1136,-117.99823,80.260185,22468,76561198168694063,PerX,50,98,False,0.0,0.0,100,6700,777.2004,3.9990234,-162.12146,2352.2278,-36.257324,64.36804,76561198890491804,L00m1,True,0.9998753,0.9998807
False,4,0,2150,46,True,0.6572752,0.0,94,4800,295.05325,-3.253662,89.16745,1677.1378,42.58304,28.075626,22702,76561198219516767,FreeZe,2350,46,True,0.37657058,0.0,94,5500,296.51123,8.315964,-90.131836,2382.8323,97.5586,10.1328125,76561198851067539,adamb,False,0.9997031,0.9977298
False,5,0,9950,25,True,0.0,0.0,70,4200,615.71045,11.289139,37.548523,700.92267,0.98360014,45.35736,33185,76561198198570973,awzek,150,100,False,1.0,3.8124943,100,4150,1485.4373,1.5401459,-144.06647,1339.3022,-9.864563,4.6772413,76561198851067539,adamb,False,0.9823297,0.9992999
False,5,0,7100,100,True,1.0,0.0,81,5600,418.0171,-1.2160492,128.8765,-122.0647,-5.103821,8.31425,34654,76561198168694063,PerX,150,73,True,0.0,0.0,97,5100,-38.244324,0.1387024,-26.942596,453.7039,-0.66223145,34.134113,76561198161056567,nilo,True,0.99984944,0.90877515
False,5,0,7400,100,True,1.0,0.0,81,5300,1571.9746,2.794983,120.16229,2446.3286,41.653168,73.09515,37483,76561198168694063,PerX,1100,12,True,0.0,0.0,90,5800,1255.4077,9.965973,-66.95446,3045.992,128.60246,63.127647,76561198135878798,Plopski,True,0.9836765,0.99551934
True,5,0,8000,14,True,0.0,0.0,55,4700,1172.6482,58.035965,-86.670456,2561.3396,96.55602,56.330025,38099,76561198168694063,PerX,0,100,False,0.0,0.0,100,5450,1012.6899,8.849823,-38.012695,2681.498,95.66687,26.37095,76561198157089888,SHiNE,False,-0.3382256,0.9872196
False,3,1,3450,22,True,0.7651174,1.9835486,84,5000,365.8496,-6.093628,94.36981,1394.3622,0.28548574,24.5441,42703,76561198219516767,FreeZe,0,100,False,0.0,0.0,100,4550,300.71677,13.815994,-84.942856,2115.582,98.07487,0.0,76561198890491804,L00m1,False,0.99951786,0.9942894
False,3,1,4350,25,True,1.0,0.0,85,5100,-471.0099,0.7257843,34.002,1644.848,-125.430664,17.275885,42899,76561198198570973,awzek,1350,46,True,0.0,0.0,92,5400,-287.65552,11.80069,-147.6638,1767.547,-104.34198,0.0,76561198161056567,nilo,False,0.99417055,0.9935695
False,3,1,1050,68,True,1.0,0.0,94,4800,-483.08752,-0.66226196,51.4404,1778.0087,-122.26239,13.285902,45301,76561198259727379,ArroW,300,13,False,0.08861502,0.0,93,4550,-109.47278,9.50386,-129.51164,2247.9548,-53.96875,53.103027,76561198890491804,L00m1,True,0.99483144,0.99845946
True,3,1,5100,1,True,1.0,0.0,81,5100,561.814,-5.19104,-95.96729,2685.09,96.78949,50.38991,48311,76561198168694063,PerX,650,100,False,0.0,0.0,100,3950,489.96866,9.217865,102.431366,1943.4775,144.57901,122.109375,76561198135878798,Plopski,True,0.9996192,0.9472903
False,2,2,1150,100,True,0.0,0.0,100,5000,-324.43506,-1.4354248,161.15878,1315.2845,-123.85455,99.88124,52752,76561198219516767,FreeZe,1250,100,True,0.0,0.0,92,5200,-698.54736,-0.51464844,-160.43816,1447.3893,-112.801575,24.047455,76561198161056567,nilo,True,0.99994004,-0.7769454
False,2,2,1450,50,True,0.1444768,0.0,90,5000,-306.4903,1.8820953,140.77435,1495.8119,-125.03607,9.689318,53423,76561198219516767,FreeZe,50,46,True,0.4257127,0.0,94,4600,-556.4178,2.507965,-38.63617,1697.2904,-115.76117,9.720599,76561198135878798,Plopski,False,0.9980764,0.99988055
True,2,2,2550,30,True,1.0,0.0,94,4700,-1613.205,5.626709,-106.17977,1023.83594,32.70748,12.214896,57787,76561198198570973,awzek,100,100,False,0.2634574,0.0,92,4950,-1964.3431,-0.015106201,74.01489,-192.83868,27.372627,0.0,76561198157089888,SHiNE,False,0.9955851,0.99999046
