is_bomb_planted,losing_streak_defender,losing_streak_attacker,balance_attacker,health_attacker,has_helmet_attacker,duck_amount_attacker,flash_duration_attacker,armor_value_attacker,current_equip_value_attacker,X_attacker,pitch_attacker,yaw_attacker,Y_attacker,Z_attacker,velocity_attacker,tick,steamid_attacker,name_attacker,balance_defender,health_defender,has_helmet_defender,duck_amount_defender,flash_duration_defender,armor_value_defender,current_equip_value_defender,X_defender,pitch_defender,yaw_defender,Y_defender,Z_defender,velocity_defender,steamid_defender,name_defender,attacker_won,crosshair_alignment_attacker,crosshair_alignment_defender
False,1,1,150,64,False,0.0,3.6107178,84,1050,-1794.3219,1.9404602,67.0063,2160.647,-2.0923462,49.558464,1665,76561198857579762,rainny,150,100,False,0.0,0.0,100,850,-1670.7255,-0.3364563,-104.901924,2603.0056,6.2641635,0.0,76561198273670913,righi,False,0.9903603,0.999634
False,1,1,150,77,False,0.6288549,0.0,100,1250,-1883.293,4.307678,67.31186,1814.1963,79.03125,8.519842,1806,76561198813233208,vinaabeast,450,90,False,0.0,0.0,94,850,-1556.725,-3.2471466,-112.78187,2605.5781,4.122108,94.95581,76561198273670913,righi,True,0.99991626,0.9995124
False,1,1,450,77,False,0.0,0.0,100,1250,-1885.4937,10.357697,46.548386,1819.2289,78.85181,95.56077,1842,76561198813233208,vinaabeast,150,32,False,0.0,3.209794,100,850,-2083.3486,-2.5144958,-79.79061,2975.206,34.35535,33.983517,76561198192352118,laser,False,0.59614766,0.99994475
False,1,1,0,98,False,0.0,0.0,0,1000,-1920.5441,1.1662598,30.350067,1835.3083,22.65804,226.84392,6229,76561198169934019,MaLLby,0,81,False,0.0,0.0,0,1000,-1106.7391,-0.5280304,-150.53296,2311.732,-0.13653564,14.193917,76561198189600467,reversive,False,0.9999927,0.9997707
False,1,1,450,87,False,0.0,0.0,94,950,-1775.5121,3.9598846,-39.355774,2504.354,30.748833,129.01895,6359,76561198885430317,history,150,86,False,0.18392426,0.0,93,850,-1351.8116,-2.8598785,142.5586,2166.6785,2.1060858,174.61542,76561198272032394,deco,False,0.99976975,0.99980783
False,1,1,0,9,False,0.0,0.0,0,900,-1631.2365,2.2964783,-29.464294,2613.3755,4.1785192,150.69655,6535,76561198018557005,leo_drk,300,19,False,0.0,0.0,0,1000,-1456.15,2.540924,134.72156,2515.063,1.080657,48.32964,76561198189600467,reversive,True,0.99969274,0.95969194
False,0,2,2050,1,False,0.0,0.0,0,200,668.429,-16.93988,-96.7614,1185.1176,3.4006824,48.883778,9624,76561198857579762,rainny,0,100,True,0.0,0.0,100,3750,652.3665,20.69104,83.93039,1015.75757,36.389053,232.22455,76561198189600467,reversive,False,0.99432606,0.98559445
False,0,2,2050,21,False,0.0,0.0,0,300,734.21594,13.019485,-178.60886,820.2161,0.90406275,172.35304,9776,76561198813233208,vinaabeast,600,100,True,0.0,0.0,100,3750,796.8381,-1.0231018,-108.957596,1020.5366,0.20366144,222.33636,76561198189600467,reversive,False,-0.31243718,0.9995058
False,0,2,2000,42,False,0.0,0.0,0,400,-439.1712,1.069107,111.066284,1668.9083,-125.1958,131.96278,11700,76561198018557005,leo_drk,150,34,True,0.26606202,0.0,64,3750,-693.97986,2.9501648,-70.813065,2381.0906,-103.83447,107.62636,76561198192352118,laser,False,0.998611,0.99969167
False,0,3,50,100,True,1.0,0.0,100,4800,-164.44867,8.566589,104.52908,639.4639,2.031252,35.348938,15614,76561198813233208,vinaabeast,2350,74,True,0.68988055,0.0,97,5800,-677.59973,-2.5344086,-74.76231,2538.8193,-80.05798,35.441486,76561198273670913,righi,True,0.9941412,0.9999947
False,0,3,50,65,True,0.0,0.0,94,4600,-584.2257,0.7481079,25.98816,1876.6519,-118.61975,42.316223,17515,76561198885430317,history,3050,76,True,0.0,0.0,98,5300,-71.256165,0.23071289,-156.23177,2128.9568,-126.67682,89.24339,76561198189600467,reversive,True,0.99999326,0.99894243
False,0,3,350,57,True,0.0,0.0,91,4800,487.9295,-2.7589417,108.787994,1684.0708,18.077084,47.719486,17988,76561198813233208,vinaabeast,2550,73,True,0.0,0.0,97,4800,294.1072,6.3140564,-67.78221,2166.9802,98.412865,92.01329,76561198272032394,deco,False,0.99306345,0.9990585
False,1,1,2750,79,True,1.0,1.6361412,86,5000,677.5103,9.701965,17.11499,808.4613,0.2997198,28.859892,22124,76561198018557005,leo_drk,2950,100,False,0.56090254,2.569867,0,800,1386.9001,0.8315277,-161.48254,1050.002,-8.3897705,8.32583,76561198273670913,righi,False,0.9871575,0.9996468
